基金代码,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
004572.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.902158737182617,15.535079956054688,17.799583435058594,18.563945770263672,17.93613624572754,10.986133575439453,17.799381256103516,8.29166030883789,17.671728134155273,7.18967342376709,17.664981842041016,12.270242691040039,17.62135124206543,10.951584815979004,11.165067672729492
005118.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.45610809326172,81.29096221923828,83.25394439697266,92.59786987304688,57.59856414794922,91.69721984863281,92.61376190185547,60.59835433959961,81.09864807128906,90.79446411132812,94.34732818603516,93.58149719238281,92.55900573730469,76.43408966064453,92.36422729492188
002730.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.84577751159668,27.444610595703125,43.04838943481445,72.88346862792969,87.81231689453125,94.41854095458984,92.80884552001953,92.72185516357422,94.75977325439453,93.46917724609375,93.77635955810547,94.00404357910156,94.09539031982422,94.64289093017578,92.86180877685547,94.31996154785156,90.6899642944336,92.9871826171875
004483.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.25591278076172,86.03880310058594,94.03528594970703,94.14966583251953,92.49911499023438,91.82097625732422,94.80322265625,92.2983627319336,90.25481414794922,,,,,,,
005062.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.46641540527344,94.09234619140625,91.69612121582031,93.24813079833984,93.40966033935547,93.60163879394531,84.85677337646484,86.01482391357422,94.25020599365234,87.24102020263672,92.38168334960938,87.6506576538086,92.23823547363281,87.42479705810547,90.88227844238281
003849.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9857177734375,15.006706237792969,14.80564022064209,15.765965461730957,15.352811813354492,15.014270782470703,14.658434867858887,7.247003078460693,13.598494529724121,18.952123641967773,18.119138717651367,19.564149856567383,18.046585083007812,19.018798828125,24.839855194091797,25.660701751708984,22.689990997314453,22.88199234008789
003702.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.701507568359375,94.12049102783203,90.8272705078125,94.42963409423828,93.87937927246094,93.634765625,91.66497039794922,90.41824340820312,95.83518981933594,93.18476867675781,92.36139678955078,90.94927978515625,93.26609802246094,91.78648376464844,,,,
003659.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.86026000976562,68.51283264160156,37.748836517333984,63.0059700012207,74.02981567382812,75.85836791992188,66.51782989501953,76.3685531616211,68.49872589111328,87.51886749267578,66.9343490600586,53.67148208618164,80.30040740966797,81.80886840820312,85.17594909667969,91.73662567138672,65.30838012695312,71.30931091308594
004130.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.653342247009277,18.54784393310547,33.98313903808594,32.00415802001953,31.123411178588867,34.139862060546875,32.50493621826172,39.72771453857422,38.218204498291016,37.84429931640625,39.78540802001953,35.88871383666992,39.84331512451172,38.38365936279297,39.46104049682617,35.39350891113281,34.63241195678711
003938.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.31800365447998,5.850639820098877,8.579252243041992,3.9733386039733887,2.889868974685669,4.841722011566162,1.4643831253051758,0.0,7.607899188995361,14.888253211975098,0.0,14.285070419311523,23.0112361907959,24.90001678466797,29.421300888061523,7.8709940910339355
003865.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.33069610595703,87.7101821899414,89.06314849853516,88.12044525146484,85.050537109375,86.72921752929688,86.413818359375,85.425537109375,83.43477630615234,83.35304260253906,90.5563735961914,92.71022033691406,89.27521514892578,90.53642272949219,86.19750213623047,89.50248718261719,90.4089584350586,89.46502685546875
003531.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11826133728027344,0.04132247716188431,1.4726126194000244,2.1498537063598633,4.844275951385498,0.258638858795166,1.5854114294052124,0.19333520531654358,15.852438926696777,0.8310941457748413,3.847496747970581,3.2808620929718018,0.0,,,,,
003884.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.045555114746094,18.89971351623535,9.693567276000977,7.327447891235352,89.847900390625,0.0,35.73762512207031,92.39472198486328,92.53152465820312,87.80400085449219,92.48468017578125,91.6630859375,92.91068267822266,90.6506576538086,94.2051773071289,94.45488739013672,92.74789428710938,93.83306884765625
004513.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.103992462158203,18.89045524597168,17.630168914794922,11.840972900390625,14.879833221435547,5.426280975341797,16.003530502319336,9.602678298950195,15.264613151550293,85.70497131347656,86.29718017578125,91.76436614990234,89.0388412475586,83.55282592773438,85.61754608154297,92.62967681884766
003646.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.56275177001953,94.95344543457031,94.21300506591797,91.08384704589844,90.43203735351562,94.9211196899414,91.82818603515625,91.73460388183594,91.80046844482422,91.89651489257812,91.71615600585938,91.5293960571289,91.38343811035156,91.27204895019531,91.19017028808594,91.2906494140625,91.8583984375,93.1185302734375
004876.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44771575927734,94.66279602050781,94.92613220214844,94.7290267944336,94.90459442138672,94.93695831298828,94.88614654541016,94.72640991210938,94.64679718017578,94.95542907714844,94.53761291503906,94.88941192626953,94.91069030761719,94.90038299560547,94.62165069580078,94.92265319824219
